,date,avg_equity,avg_debt,avg_hybrid,index_nrml
259,2019-10-04,-14.68,13.8,2.23,-4.33
260,2019-10-07,-15.08,13.77,1.96,-4.74
261,2019-10-09,-14.3,13.84,2.93,-3.14
262,2019-10-10,-14.84,13.77,2.65,-3.82
263,2019-10-11,-14.76,13.57,2.93,-3.21
264,2019-10-14,-14.65,13.74,3.22,-2.91
265,2019-10-15,-14.42,13.73,3.62,-2.16
266,2019-10-16,-13.99,13.86,3.72,-1.85
267,2019-10-17,-12.93,13.72,4.35,-0.81
268,2019-10-18,-11.56,13.8,4.79,-0.16
269,2019-10-22,-10.73,13.83,4.64,-0.79
270,2019-10-23,-10.03,13.98,4.75,-0.65
271,2019-10-24,-10.55,13.98,4.58,-0.84
272,2019-10-25,-10.45,14.04,4.76,-0.83
273,2019-10-29,-9.15,14.07,5.72,0.91
274,2019-10-30,-8.35,14.17,6.09,1.4
275,2019-10-31,-8.19,14.35,6.41,1.69
276,2019-11-01,-8.77,14.35,6.5,1.8
277,2019-11-04,-8.58,14.3,6.66,2.23
278,2019-11-05,-9.49,14.17,6.37,2.03
279,2019-11-06,-9.46,14.28,6.6,2.44
280,2019-11-07,-9.14,14.18,6.75,2.84
281,2019-11-08,-9.46,14.05,6.44,1.95
282,2019-11-11,-9.04,13.99,6.67,1.99
283,2019-11-13,-8.21,14.19,6.23,1.37
284,2019-11-14,-8.27,14.26,6.51,1.64
285,2019-11-15,-8.25,14.36,6.68,1.84
286,2019-11-18,-8.49,14.58,6.81,1.75
287,2019-11-19,-8.2,14.71,6.99,2.22
288,2019-11-20,-8.24,14.84,7.31,2.73
289,2019-11-21,-8.04,14.52,6.97,2.46
290,2019-11-22,-8.66,14.57,6.74,2.0
291,2019-11-25,-8.37,14.79,7.43,3.37
292,2019-11-26,-8.58,14.77,7.45,3.06
293,2019-11-27,-8.43,14.82,7.72,3.6
294,2019-11-28,-8.02,14.91,8.08,4.03
295,2019-11-29,-8.25,14.88,7.8,3.22
296,2019-12-02,-8.55,14.82,7.72,3.15
297,2019-12-03,-8.85,14.93,7.46,2.69
298,2019-12-04,-8.7,15.02,7.92,3.11
299,2019-12-05,-8.82,14.24,7.53,2.89
300,2019-12-06,-9.7,14.08,6.96,2.06
301,2019-12-09,-10.01,14.2,7.03,2.2
302,2019-12-10,-10.98,14.01,6.52,1.51
303,2019-12-11,-10.73,13.79,6.7,1.97
304,2019-12-12,-10.22,13.73,7.2,2.49
305,2019-12-13,-9.8,13.65,7.78,3.48
306,2019-12-16,-10.4,13.66,7.59,3.2
307,2019-12-17,-10.27,14.1,8.15,4.15
308,2019-12-18,-10.18,14.42,8.33,4.63
309,2019-12-19,-10.1,14.31,8.36,4.96
310,2019-12-20,-10.14,15.1,8.72,5.06
311,2019-12-23,-10.16,15.31,8.76,4.98
312,2019-12-24,-10.33,15.26,8.59,4.57
313,2019-12-26,-10.06,15.39,8.38,3.82
314,2019-12-27,-9.34,15.61,9.08,4.84
315,2019-12-30,-9.15,15.52,9.11,4.93
316,2019-12-31,-8.97,15.51,8.98,4.18
317,2020-01-01,-8.85,15.83,9.21,4.3
318,2020-01-02,-8.24,15.94,9.75,5.15
319,2020-01-03,-8.52,15.91,9.57,4.68
320,2020-01-06,-10.34,15.61,8.31,2.68
321,2020-01-07,-9.53,15.67,8.66,3.19
322,2020-01-08,-9.42,15.64,8.65,2.95
323,2020-01-09,-8.09,15.94,9.72,4.58
324,2020-01-10,-7.43,15.51,9.83,4.93
325,2020-01-13,-6.62,15.49,10.13,5.56
326,2020-01-14,-6.03,15.04,10.21,5.84
327,2020-01-15,-5.6,15.31,10.27,5.67
328,2020-01-16,-5.25,15.46,10.46,5.78
329,2020-01-17,-4.8,15.67,10.61,5.75
330,2020-01-20,-5.43,15.66,10.1,4.66
331,2020-01-21,-5.88,15.78,9.87,4.19
332,2020-01-22,-5.84,15.77,9.64,3.65
333,2020-01-23,-4.93,15.98,10.36,4.28
334,2020-01-24,-3.82,16.12,10.91,4.86
335,2020-01-27,-3.29,16.26,10.62,3.75
336,2020-01-28,-3.42,16.12,10.33,3.21
337,2020-01-29,-3.14,16.11,10.59,3.84
